t(s)	ag(m/s^2)
14.82	-0.03965
14.84	-0.10126
14.86	-0.00014
14.88	0.17958
14.9	0.34619
14.92	0.4731
14.94	0.34768
14.96	0.0137
14.98	-0.34201
15	-0.47474
15.02	-0.33683
15.04	-0.08699
15.06	-0.05296
15.08	-0.1893
15.1	-0.22177
15.12	-0.00179
15.14	0.11868
15.16	-0.0409
15.18	-0.12907
15.2	-0.10881
15.22	-0.13354
15.24	-0.09954
15.26	-0.12455
15.28	-0.37353
15.3	-0.60827
15.32	-0.59426
15.34	-0.42801
15.36	-0.29444
15.38	-0.23589
15.4	-0.07744
15.42	0.08152
15.44	0.15147
15.46	0.23746
15.48	0.33586
15.5	0.41423
15.52	0.41453
15.54	0.39666
15.56	0.3807
15.58	0.38896
15.6	0.36424
15.62	0.21998
15.64	-0.02672
15.66	-0.30724
15.68	-0.45989
15.7	-0.40458
15.72	-0.24812
15.74	-0.156
15.76	-0.00293
15.78	0.10594
15.8	-0.03794
15.82	-0.23924
15.84	-0.29283
15.86	-0.38811
15.88	-0.31735
15.9	-0.05733
15.92	0.17749
15.94	0.16584
15.96	0.05143
15.98	-0.04686
16	-0.11034
16.02	-0.11041
16.04	-0.02786
16.06	0.13253
16.08	0.36773
16.1	0.49713
16.12	0.40775
16.14	0.08125
16.16	-0.1316
16.18	-0.00007
16.2	0.08851
16.22	-0.13254
16.24	-0.33605
16.26	-0.31168
16.28	-0.3088
16.3	-0.32931
16.32	-0.25602
16.34	-0.27362
16.36	-0.19446
16.38	0.03878
16.4	0.15675
16.42	0.28716
16.44	0.4527
16.46	0.47445
16.48	0.33334
16.5	0.15951
16.52	0.00334
16.54	-0.11522
16.56	-0.17207
16.58	-0.26711
16.6	-0.20316
16.62	0.03509
16.64	0.24427
16.66	0.25127
16.68	0.05693
16.7	-0.09371
16.72	-0.11237
16.74	-0.07498
16.76	0.12776
16.78	0.30167
16.8	0.24275
16.82	0.05122
16.84	-0.02213
16.86	-0.05
16.88	-0.07487
16.9	-0.04921
16.92	-0.12737
16.94	-0.27365
16.96	-0.43419
16.98	-0.59129
17	-0.60619
17.02	-0.46688
17.04	-0.28054
17.06	-0.13572
17.08	-0.02007
17.1	0.00195
17.12	-0.06725
17.14	-0.18181
17.16	-0.28991
17.18	-0.24183
17.2	-0.132
17.22	-0.11373
17.24	-0.10611
17.26	-0.09188
17.28	-0.12794
17.3	-0.09544
17.32	0.05647
17.34	0.29217
17.36	0.45276
17.38	0.37592
17.4	-0.00187
17.42	-0.23312
17.44	-0.13752
17.46	-0.00247
17.48	-0.05264
17.5	-0.15035
17.52	-0.17158
17.54	-0.07185
17.56	0.0379
17.58	0.09481
17.6	-0.02631
17.62	-0.10181
17.64	0.13942
17.66	0.32579
17.68	0.21802
17.7	-0.04305
17.72	-0.32486
17.74	-0.45442
17.76	-0.45202
17.78	-0.44916
17.8	-0.41788
17.82	-0.32546
17.84	-0.17354
17.86	-0.1164
17.88	-0.10518
17.9	-0.02719
17.92	0.18049
17.94	0.35182
17.96	0.31006
17.98	0.27198
18	0.36254
18.02	0.41406
18.04	0.33321
18.06	0.09138
18.08	-0.09778
18.1	-0.04523
18.12	0.08674
18.14	0.14725
18.16	0.15113
18.18	0.05358
18.2	-0.07336
18.22	-0.11908
18.24	-0.13201
18.26	-0.17138
18.28	-0.14319
18.3	-0.11291
18.32	-0.11422
18.34	-0.07981
18.36	-0.01651
18.38	-0.01466
18.4	-0.05215
18.42	0.03986
18.44	0.22816
18.46	0.36192
18.48	0.37431
18.5	0.32538
18.52	0.24956
18.54	0.18971
18.56	0.26893
18.58	0.30319
18.6	0.24243
18.62	0.14429
18.64	0.01242
18.66	-0.0653
