t (s)	ag (m/s^2)
6.96	-0.0000125240
6.97	-0.0000225560
6.98	-0.0000020357
6.99	-0.0000133130
7	-0.0000010597
7.01	-0.0000243780
7.02	-0.0000000322
7.03	-0.0000251700
7.04	-0.0000296170
7.05	0.0001049000
7.06	0.0000697870
7.07	-0.0000840170
7.08	-0.0001916100
7.09	-0.0001324600
7.1	0.0001269400
7.11	0.0002287200
7.12	-0.0000038539
7.13	-0.0001309400
7.14	0.0000762770
7.15	0.0000685910
7.16	-0.0001930500
7.17	-0.0002321500
7.18	0.0000576870
7.19	0.0002572200
7.2	0.0000381830
7.21	-0.0000731680
7.22	0.0000384840
7.23	-0.0000233810
7.24	-0.0000913480
7.25	0.0000065939
7.26	0.0001685000
7.27	0.0000769800
7.28	-0.0001421400
7.29	-0.0000521270
7.3	0.0000368090
7.31	-0.0000010845
7.32	-0.0000640330
7.33	-0.0000605700
7.34	0.0001359600
7.35	0.0001088600
7.36	-0.0000529910
7.37	0.0000275270
7.38	0.0000384070
7.39	-0.0002236400
7.4	-0.0001308900
7.41	0.0002763500
7.42	0.0000783760
7.43	-0.0001922400
7.44	0.0000165350
7.45	0.0000897370
7.46	-0.0000452250
7.47	-0.0000390470
7.48	0.0000443520
7.49	0.0000105060
7.5	-0.0000143300
7.51	-0.0000315020
7.52	-0.0000719570
7.53	-0.0000338920
7.54	0.0001300900
7.55	0.0001947500
7.56	-0.0000594200
7.57	-0.0002147400
7.58	-0.0000208470
7.59	0.0000774240
7.6	-0.0000734280
7.61	0.0000900420
7.62	0.0002943000
7.63	0.0000216480
7.64	-0.0002163800
7.65	-0.0001287000
7.66	-0.0000050216
7.67	-0.0000508690
7.68	0.0000376420
7.69	0.0001563600
7.7	0.0001001300
7.71	0.0000245250
7.72	-0.0001489200
7.73	-0.0001554200
7.74	0.0000201120
7.75	0.0000462600
7.76	0.0000080759
7.77	-0.0000017057
7.78	-0.0000536150
7.79	0.0000193770
7.8	0.0001560500
7.81	0.0001490100
7.82	0.0000469720
7.83	-0.0002021700
7.84	-0.0002419400
7.85	-0.0000829050
7.86	-0.0000217190
7.87	0.0001875000
7.88	0.0002973700
7.89	0.0002187200
7.9	0.0000161150
7.91	-0.0003202600
7.92	-0.0003144900
7.93	-0.0000501840
7.94	0.0001159500
7.95	0.0002490700
7.96	0.0002367600
7.97	-0.0000915560
7.98	-0.0002629600
7.99	-0.0000813760
8	-0.0000235400
8.01	0.0000294290
8.02	0.0002056800
8.03	0.0002098800
8.04	-0.0000742460
8.05	-0.0002907800
8.06	-0.0000530340
8.07	0.0001477300
8.08	0.0000684310
8.09	-0.0000733730
8.1	-0.0001011500
8.11	0.0000670290
8.12	0.0001376800
8.13	0.0001587400
8.14	-0.0000041829
8.15	-0.0002096700
8.16	-0.0000550840
8.17	0.0000503230
8.18	-0.0000640810
8.19	-0.0001214800
8.2	0.0001781500
8.21	0.0003862800
8.22	-0.0000100950
8.23	-0.0004646100
8.24	-0.0003601800
8.25	0.0001464100
8.26	0.0002981600
8.27	0.0001583000
8.28	0.0001064600
8.29	0.0000094264
8.3	-0.0002138500
8.31	-0.0003010700
8.32	0.0000072710
8.33	0.0000875560
8.34	0.0000384970
8.35	0.0001868100
8.36	0.0000585640
8.37	-0.0000225330
8.38	-0.0000126350
8.39	-0.0000711370
8.4	-0.0001238300
8.41	-0.0001305200
8.42	0.0001764200
8.43	0.0002982700
8.44	0.0000584460
8.45	-0.0001142400
8.46	-0.0001190000
8.47	-0.0000663350
8.48	-0.0000677800
8.49	-0.0000063840
8.5	0.0000609700
8.51	0.0000560660
8.52	0.0000176390
8.53	0.0001498600
8.54	0.0002439000
8.55	-0.0000169870
8.56	-0.0003282400
8.57	-0.0002861200
8.58	0.0000722820
8.59	0.0001320700
8.6	-0.0000148740
8.61	0.0000486020
8.62	0.0001287200
8.63	0.0000853890
8.64	0.0000110970
8.65	-0.0001357900
8.66	-0.0001790600
8.67	0.0000356290
8.68	0.0002184900
8.69	0.0003287000
8.7	0.0000753320
8.71	-0.0003285700
8.72	-0.0003865300
8.73	-0.0002178800
8.74	0.0001240200
8.75	0.0003504900
8.76	0.0004463800
8.77	0.0001778500
8.78	-0.0003011900
8.79	-0.0002739400
8.8	-0.0001203200
8.81	-0.0000638160
8.82	0.0000287260
8.83	0.0000476980
8.84	0.0000270440
8.85	0.0000491370
8.86	0.0001561900
8.87	0.0001791800
8.88	-0.0001330300
8.89	-0.0004522700
8.9	-0.0001311400
8.91	0.0003557700
8.92	0.0004205500
8.93	0.0001645900
8.94	-0.0002790200
8.95	-0.0004150400
8.96	-0.0002701200
8.97	-0.0001034200
8.98	0.0002380300
8.99	0.0004183800
9	0.0001565800
9.01	-0.0000807750
9.02	-0.0000834820
9.03	-0.0000815250
9.04	-0.0000519820
9.05	-0.0000335940
9.06	-0.0000396340
9.07	-0.0000959050
9.08	-0.0000776720
9.09	0.0002027700
9.1	0.0003627900
9.11	0.0001332600
9.12	-0.0001186000
9.13	-0.0001246300
9.14	-0.0002411600
9.15	-0.0003419500
9.16	-0.0000236800
9.17	0.0004302100
9.18	0.0004047100
9.19	-0.0000587720
9.2	-0.0002557600
9.21	-0.0001887800
9.22	-0.0001353800
9.23	-0.0000394500
9.24	0.0001755300
9.25	0.0002693500
9.26	0.0000070350
9.27	-0.0001524300
9.28	-0.0001009700
9.29	-0.0001345300
